"Name ","Image_url","Ean","Brand  ","Category ","Price   ","Description"
"Hershey's Spreads Cocoa With Almond 350G","https://go-upc.s3.amazonaws.com/images/85374035.jpeg","8901071701372","Hershey's","Pretend Shopping & Grocery","200","Spread the taste of Hershey's cocoa on bread or use as a dip for fruits and vegetables Smooth spread to dress up breakfast toast, sandwiches at lunch, or with strawberries for dessert."
"Dabur Gulabari Premium Rose Water 120Ml","https://go-upc.s3.amazonaws.com/images/81278639.jpeg","8901207040795","	Dabur","Makeup","50","No description found."
"Nivea Sunblock Lotion Protect & Moisture Spf 30 125 Ml","https://go-upc.s3.amazonaws.com/images/87585574.webp","4005808516193","Nivea","Bath & Body","350","Nivea sun is world’s no.1 sun care. It provides immediate protection against harmful uva and uvb rays. Its pa++ and advanced collagen protect formula, protects the skin’s collagen to help prevent wrinkles caused by frequent sun exposure.with its light, non-sticky and water resistant formula, Nivea sun is the most effective way to protect your skin from the sun. Get instant protection from harsh sunrays with NIVEA Protect and Moisture Sun Lotion SPF 30. Its fast absorbing formula with advanced collagen protection prevents wrinkles. The non-greasy and non-oily formula is also water resistant. Now no need to wait for 15 mins, just apply and Get Set Go! The Nivea sun lotion provides instant protection, you don’t have to wait for 20 minutes The formula with SPF 30 provides instant protection to skin from UVA-UVB rays after application Its fast absorbing formula with advanced collagen protection prevents wrinkles The non-greasy and non-oily formula is also water resistant Nivea sun is world’s no.1 sun care."
"Unilever Ponds – 100g Dreamflower Talcum Powder Pink Lily","https://go-upc.s3.amazonaws.com/images/58427270.png","8901030869013","Unilever","Ponds","60","Pond’s Dreamflower Pink Lily Fragrant Talc 400 gWe often wonder if there is a product that could help us retain shower like freshness throughout the day! Presenting Pond’s Dreamflower Talcum powder. It is infused with the mesmerising fragrance of Pink Lily that leaves you feeling fresh for longer. It is specifically designed for your skin – with soft and smooth micro talc particles that are easy to apply. Perfect for the summers, it is suitable for both men and women, it helps you to stay refreshed and makes you smell and feel beautiful. Use generously on."
"Vicks Vaporub 50ml /144","https://go-upc.s3.amazonaws.com/images/83202009.png","4987176191199","Vicks","Health Care","30","With its unique and time-trusted formula, Vicks VapoRub gives you relief from 6 cough and cold symptoms. It can provide up to 8 hours of relief from blocked nose due to colds, to help you and your family sleep and dream happily."
"Johnson's Baby Buds, 75 Stems/150 Swabs","https://go-upc.s3.amazonaws.com/images/81526903.jpeg","8901012155080","	Johnson's","	Cotton Swabs","40","Johnson's Baby Cotton Buds"
"Patanjali Saundarya Aloe Vera Gel, 150ml","https://go-upc.s3.amazonaws.com/images/43753339.gif","8904109400643","Patanjali","Books","200","Instant solution for pimples, wrinkles, and glowing fair skin."
"Vaseline Deep Moisture Body Lotion","https://go-upc.s3.amazonaws.com/images/75623059.jpeg","8901030912108","	Vaseline","	Lotion & Moisturizer","350","moisturizes dry skin from the first application. Vaseline deep restore body lotion is fast-absorbing for a non-greasy feel. Contains pure oat extracts and micro-droplets of Vaseline jelly to lock in moisture. Moisturizing body lotion, clinically proven to restore dry skin. Daily body lotion best for dry skin, rough skin. Smart pump quick-lock technology unlocks and locks with no mess."
"Shahnaz Husain Vaseline Original Skin Protecting Jelly 100Ml","https://go-upc.s3.amazonaws.com/images/84644283.webp","8901030716263","Shahnaz Husain","Makeup","100","Vaseline® Healing Jelly Original is clinically proven to help heal dry, damaged skin. Vaseline® Healing Jelly provides dry skin relief and protects minor cuts. Made with 100% pure petrolatum. Purity is guaranteed with our triple-purified formula. Vaseline® is the #1 dermatologist recommended pure Jelly. Vaseline® Healing Jelly can be used on dry skin, stressed skin, and sensitive skin. Awarded the U.S. National Eczema Association Seal of Acceptance as suitable for sensitive skin and dryness associated with eczema."
"Garnier Color Naturals Creme Riche 3 Darkest Brown","https://go-upc.s3.amazonaws.com/images/58714570.jpeg","8901526204465","Garnier","Hair Color","120","Garnier Color Naturals is crème hair colour which gives 100% Grey Coverage and beautiful rich color. It is an ammonia free hair color and has a superior Colour Lock technology which gives you rich long lasting color that lasts upto 8 weeks. Color Naturals comes in a range of 8 gorgeous shades especially suited for Indian skin tones. It is available in an easy to use kit which can be used at your convenience in the comfort of your house! It is enriched with the goodness of 3 oils – Almond, Olive and Avocado which nourishes hair and provides shiny, long lasting colour. Your Hair will love the nourishment and you will love the colour! To use, mix equal parts of the colorant and the developer in a plastic or a glass bowl and apply the mixture to your hair with a brush on dry, unwashed hair. Leave on for 30 minutes and rinse with water. Apply post colour-care conditioner (provided in kit) to the hair and rinse to reveal shiny, rich hair color."
"Davidoff Cafe Espresso 57 Instant Coffee 100g","https://go-upc.s3.amazonaws.com/images/33511669.png","4006067060977","	Davidoff","	Coffee","200","his high-quality coffee from the world-renowned Davidoff Cafe is an essential for any top-class espresso. This exquisite blend of 100% Arabica beans offers a smooth and balanced taste with fruity, chocolatey notes and a pleasant sweet aftertaste. With a deep aroma and rich crema, this coffee is sure to bring out the barista in you. 100g."
"Parle Monaco Classic Cheeslings - 150GM","https://go-upc.s3.amazonaws.com/images/76140592.jpeg","8901719112560","	Parle","Cookies","80","Crunchy savouries for bite-sized snacks that are the ideal description for Parle Cheeslings. A favourite for all ages, this mini biscuit-like snack is made of cheese and presents a baked alternative to hunger that strikes in between meals. This healthy and tasty snack is one of the best selling products of Parle."
