id,name,brand,category,price,image_url,description
29,Nivea Sunblock Lotion Protect & Moisture Spf 30 125 Ml,Nivea,Bath & Body,300,https://go-upc.s3.amazonaws.com/images/87585574.webp,Null 
30,Dabur Gulabari Premium Rose Water 120Ml,Dabur,Makeup,50,https://go-upc.s3.amazonaws.com/images/81278639.jpeg,Null 
31,"Johnson's Baby Buds, 75 Stems/150 Swabs",Johnson's,Cotton Swabs,60,https://go-upc.s3.amazonaws.com/images/81526903.jpeg,Null
32,Maggi Masala 2-Minute Noodles India Snack,null,Grocery & Gourmet Food,12,"https://m.media-amazon.com/images/I/71Y7pDHbi8L._SX679_PIbundle-24,TopRight,0,0_AA679SH20_.jpg","Need a quick meal on the go? Reach for Maggi Masala Noodles! Maggi is spreading happiness with its instant, tasty, and healthy noodles. Bringing you a classic snack directly from India. 2-Minute Masala Noodles are perfectly convenient for the snacking occasion. Delicious Masala flavor brought to with convenience. Maggi Masala Noodles Contain: Wheat Flour, Edible Vegetable Oil, Salt, Mineral (Calcium Carbonate), Guar Gum. Masala Tastemaker : Hydrolyzed Groundnut Protein, Mixed Spices 23.6% (Onion Powder, Coriander, Chili Powder, Turmeric, Garlic Powder, Cumin, Aniseed, Fenugreek, Ginger, Black Pepper, Clove, Nutmeg, Cardamom), Noodle Powder (Wheat Flour, Edible Vegetable Oil, Salt, Wheat Gluten, Mineral (Calcium Carbonate), Guar Gum), Sugar, Edible Starch, Salt, Edible Vegetable Oil, Acidifying Agent (330), Mineral (Potassium Chloride), Color (150d), Flavor Enhancer (635), Raising Agent (500(ii))."
